"Time","temperatura ESP32"
2024-05-23 16:41:44,25
2024-05-23 16:41:49,25
2024-05-23 16:41:55,25
2024-05-23 16:42:01,25
2024-05-23 16:42:06,25
2024-05-23 16:42:12,25
2024-05-23 16:42:17,25
2024-05-23 16:42:23,25
2024-05-23 16:42:29,25
2024-05-23 16:42:34,25
2024-05-23 16:42:40,25
2024-05-23 16:42:46,25
2024-05-23 16:42:51,25
2024-05-23 16:42:57,25
2024-05-23 16:43:03,25
2024-05-23 16:43:08,25
2024-05-23 16:43:14,25
2024-05-23 16:43:20,25
2024-05-23 16:43:26,25
2024-05-23 16:43:32,25
2024-05-23 16:43:37,25
2024-05-23 16:43:43,25
2024-05-23 16:43:49,25
2024-05-23 16:43:54,25
2024-05-23 16:44:00,25
2024-05-23 16:44:05,25
2024-05-23 16:44:11,25
2024-05-23 16:44:17,25
2024-05-23 16:44:22,25
2024-05-23 16:44:30,25
2024-05-23 16:44:35,25
2024-05-23 16:44:41,25
2024-05-23 16:44:47,25
2024-05-23 16:44:53,25
2024-05-23 16:44:58,25
2024-05-23 16:45:04,25
2024-05-23 16:45:10,25
2024-05-23 16:45:15,25
2024-05-23 16:45:21,25
2024-05-23 16:45:27,25
2024-05-23 16:45:33,25
2024-05-23 16:45:39,25
2024-05-23 16:45:44,25
2024-05-23 16:45:50,25
2024-05-23 16:45:56,25
2024-05-23 16:46:01,25
2024-05-23 16:46:07,25
2024-05-23 16:46:13,25
2024-05-23 16:46:18,25
2024-05-23 16:46:24,25
2024-05-23 16:46:30,25
2024-05-23 16:46:36,25
2024-05-23 16:46:42,25
2024-05-23 16:46:47,25
2024-05-23 16:46:53,25
2024-05-23 16:46:59,25
2024-05-23 16:47:04,25
2024-05-23 16:47:10,25
2024-05-23 16:47:16,25
2024-05-23 16:47:21,25
2024-05-23 16:47:27,25
2024-05-23 16:47:32,25
2024-05-23 16:47:40,25
2024-05-23 16:47:45,25
2024-05-23 16:47:51,25
2024-05-23 16:47:57,25
2024-05-23 16:48:02,25
2024-05-23 16:48:08,25
2024-05-23 16:48:14,25
2024-05-23 16:48:19,25
2024-05-23 16:48:25,25
2024-05-23 16:48:31,25
2024-05-23 16:48:36,25
2024-05-23 16:48:42,25
2024-05-23 16:48:47,25
2024-05-23 16:48:53,25
2024-05-23 16:48:59,25
2024-05-23 16:49:04,25
2024-05-23 16:49:10,25
2024-05-23 16:49:16,25
2024-05-23 16:49:21,25
2024-05-23 16:49:27,25
2024-05-23 16:49:33,25
2024-05-23 16:49:38,25
2024-05-23 16:49:44,25
2024-05-23 16:49:49,25
2024-05-23 16:49:55,25
2024-05-23 16:50:01,25
2024-05-23 16:50:06,25
2024-05-23 16:50:12,25
2024-05-23 16:50:18,25
2024-05-23 16:50:23,25
2024-05-23 16:50:29,25
2024-05-23 16:50:35,25
2024-05-23 16:50:40,25
2024-05-23 16:50:46,25
2024-05-23 16:50:51,25
2024-05-23 16:50:57,25
2024-05-23 16:51:02,25
2024-05-23 16:51:08,25
2024-05-23 16:51:14,25
2024-05-23 16:51:19,25
2024-05-23 16:51:25,25
2024-05-23 16:51:31,25
2024-05-23 16:51:36,25
2024-05-23 16:51:42,25
2024-05-23 16:51:48,25
2024-05-23 16:51:53,25
2024-05-23 16:51:59,25
2024-05-23 16:52:04,25
2024-05-23 16:52:10,25
2024-05-23 16:52:16,25
2024-05-23 16:52:21,25
2024-05-23 16:52:27,25
2024-05-23 16:52:33,25
2024-05-23 16:52:38,25
2024-05-23 16:52:44,25
2024-05-23 16:52:50,25
2024-05-23 16:52:55,25
2024-05-23 16:53:01,25
2024-05-23 16:53:07,25
2024-05-23 16:53:12,25
2024-05-23 16:53:18,25
2024-05-23 16:53:23,25
2024-05-23 16:53:29,25
2024-05-23 16:53:35,25
2024-05-23 16:53:40,25
2024-05-23 16:53:46,25
2024-05-23 16:53:52,25
2024-05-23 16:53:57,25
2024-05-23 16:54:03,25
2024-05-23 16:54:08,25
2024-05-23 16:54:14,25
2024-05-23 16:54:20,25
2024-05-23 16:54:25,25
2024-05-23 16:54:31,25
2024-05-23 16:54:37,25
2024-05-23 16:54:42,25
2024-05-23 16:54:48,25
2024-05-23 16:54:53,25
2024-05-23 16:54:59,25
2024-05-23 16:55:05,25
2024-05-23 16:55:10,25
2024-05-23 16:55:16,25
2024-05-23 16:55:22,25
2024-05-23 16:55:27,25
2024-05-23 16:55:33,25
2024-05-23 16:55:38,25
2024-05-23 16:55:44,25
2024-05-23 16:55:50,25
2024-05-23 16:55:55,25
2024-05-23 16:56:01,25
2024-05-23 16:56:06,25
2024-05-23 16:56:12,25
2024-05-23 16:56:18,25
2024-05-23 16:56:23,25
2024-05-23 16:56:29,25
2024-05-23 16:56:35,25
2024-05-23 16:56:40,25
2024-05-23 16:56:46,25
2024-05-23 16:56:52,25
2024-05-23 16:56:57,25
2024-05-23 16:57:03,25
2024-05-23 16:57:09,25
2024-05-23 16:57:14,25
2024-05-23 16:57:20,25
2024-05-23 16:57:25,25
2024-05-23 16:57:31,25
2024-05-23 16:57:37,25
2024-05-23 16:57:42,25
2024-05-23 16:57:48,25
2024-05-23 16:57:54,25
2024-05-23 16:57:59,25
2024-05-23 16:58:05,25
2024-05-23 16:58:12,25
2024-05-23 16:58:17,25
2024-05-23 16:58:23,25
2024-05-23 16:58:28,25
2024-05-23 16:58:34,25
2024-05-23 16:58:40,25
2024-05-23 16:58:45,25
2024-05-23 16:58:51,25
2024-05-23 16:58:57,25
2024-05-23 16:59:02,25
2024-05-23 16:59:08,25
2024-05-23 16:59:13,25
2024-05-23 16:59:19,25
2024-05-23 16:59:25,25
2024-05-23 16:59:30,25
2024-05-23 16:59:36,25
2024-05-23 16:59:42,25
2024-05-23 16:59:47,25
2024-05-23 16:59:53,25
2024-05-23 16:59:59,25
2024-05-23 17:00:04,25
2024-05-23 17:00:10,25
2024-05-23 17:00:16,25
2024-05-23 17:00:21,25
2024-05-23 17:00:27,25
2024-05-23 17:00:32,25
2024-05-23 17:00:38,25
2024-05-23 17:00:44,25
2024-05-23 17:00:49,25
2024-05-23 17:00:55,25
2024-05-23 17:01:01,25
2024-05-23 17:01:06,25
2024-05-23 17:01:12,25
2024-05-23 17:01:18,25
2024-05-23 17:01:24,25
2024-05-23 17:01:30,25
2024-05-23 17:01:35,25
2024-05-23 17:01:41,25
2024-05-23 17:01:46,25
2024-05-23 17:01:52,25
2024-05-23 17:01:58,25
2024-05-23 17:02:03,25
2024-05-23 17:02:09,25
2024-05-23 17:02:15,25
2024-05-23 17:02:21,25
2024-05-23 17:02:27,25
2024-05-23 17:02:32,25
2024-05-23 17:02:38,25
2024-05-23 17:02:44,25
2024-05-23 17:02:49,25
2024-05-23 17:02:55,25
2024-05-23 17:03:01,25
2024-05-23 17:03:06,25
2024-05-23 17:03:12,25
2024-05-23 17:03:17,25
2024-05-23 17:03:23,25
2024-05-23 17:03:29,25
2024-05-23 17:03:34,25
2024-05-23 17:03:40,25
2024-05-23 17:03:46,25
2024-05-23 17:03:51,25
2024-05-23 17:03:57,25
2024-05-23 17:04:03,25
2024-05-23 17:04:08,25
2024-05-23 17:04:14,25
2024-05-23 17:04:19,25
2024-05-23 17:04:25,25
2024-05-23 17:04:31,25
2024-05-23 17:04:36,25
2024-05-23 17:04:42,25
2024-05-23 17:04:47,25
2024-05-23 17:04:53,25
2024-05-23 17:04:59,25
2024-05-23 17:05:04,25
2024-05-23 17:05:10,25
2024-05-23 17:05:16,25
2024-05-23 17:05:21,25
2024-05-23 17:05:29,25
2024-05-23 17:05:35,25
2024-05-23 17:05:40,25
2024-05-23 17:05:46,25
2024-05-23 17:05:51,25
2024-05-23 17:05:57,25
2024-05-23 17:06:03,25
2024-05-23 17:06:08,25
2024-05-23 17:06:14,25
2024-05-23 17:06:20,25
2024-05-23 17:06:25,25
2024-05-23 17:06:32,25
2024-05-23 17:06:37,25
2024-05-23 17:06:43,25
2024-05-23 17:06:49,25
2024-05-23 17:06:54,25
2024-05-23 17:07:00,25
2024-05-23 17:07:06,25
2024-05-23 17:07:11,25
2024-05-23 17:07:17,25
2024-05-23 17:07:23,25
2024-05-23 17:07:28,25
2024-05-23 17:07:34,25
2024-05-23 17:07:39,25
2024-05-23 17:07:45,25
2024-05-23 17:07:51,25
2024-05-23 17:07:56,25
2024-05-23 17:08:02,25
2024-05-23 17:08:07,25
2024-05-23 17:08:13,25
2024-05-23 17:08:19,25
2024-05-23 17:08:24,25
2024-05-23 17:08:30,25
2024-05-23 17:08:36,25
2024-05-23 17:08:41,25
2024-05-23 17:08:47,25
2024-05-23 17:08:52,25
2024-05-23 17:08:58,25
2024-05-23 17:09:04,25
2024-05-23 17:09:09,25
2024-05-23 17:09:15,25
2024-05-23 17:09:20,25
2024-05-23 17:09:26,25
2024-05-23 17:09:32,25
2024-05-23 17:09:38,25
2024-05-23 17:09:44,25
2024-05-23 17:09:49,25
2024-05-23 17:09:55,25
2024-05-23 17:10:01,25
2024-05-23 17:10:06,25
2024-05-23 17:10:12,25
2024-05-23 17:10:18,25
2024-05-23 17:10:23,25
2024-05-23 17:10:29,25
2024-05-23 17:10:34,25
2024-05-23 17:10:40,25
2024-05-23 17:10:46,25
2024-05-23 17:10:51,25
2024-05-23 17:10:57,25
2024-05-23 17:11:02,25
2024-05-23 17:11:08,25
2024-05-23 17:11:14,25
2024-05-23 17:11:19,25
2024-05-23 17:11:25,25
2024-05-23 17:11:31,25
2024-05-23 17:11:36,25
2024-05-23 17:11:42,25
2024-05-23 17:11:48,25
2024-05-23 17:11:53,25
2024-05-23 17:11:59,25
2024-05-23 17:12:04,25
2024-05-23 17:12:10,25
2024-05-23 17:12:16,25
2024-05-23 17:12:21,25
2024-05-23 17:12:27,25
2024-05-23 17:12:32,25
2024-05-23 17:12:38,25
2024-05-23 17:12:44,25
2024-05-23 17:12:49,25
2024-05-23 17:12:55,25
2024-05-23 17:13:00,25
2024-05-23 17:13:06,25
2024-05-23 17:13:12,25
2024-05-23 17:13:17,25
2024-05-23 17:13:23,25
2024-05-23 17:13:28,25
2024-05-23 17:13:34,25
2024-05-23 17:13:40,25
2024-05-23 17:13:46,25
2024-05-23 17:13:52,25
2024-05-23 17:13:57,25
2024-05-23 17:14:03,25
2024-05-23 17:14:09,25
2024-05-23 17:14:14,25
2024-05-23 17:14:20,25
2024-05-23 17:14:26,25
2024-05-23 17:14:31,25
2024-05-23 17:14:37,25
2024-05-23 17:14:42,25
2024-05-23 17:14:48,25
2024-05-23 17:14:54,25
2024-05-23 17:14:59,25
2024-05-23 17:15:05,25
2024-05-23 17:15:11,25
2024-05-23 17:15:16,25
2024-05-23 17:15:22,25
2024-05-23 17:15:27,25
2024-05-23 17:15:33,25
2024-05-23 17:15:39,25
2024-05-23 17:15:44,25
2024-05-23 17:15:51,25
2024-05-23 17:15:56,25
2024-05-23 17:16:02,25
2024-05-23 17:16:08,25
2024-05-23 17:16:13,25
2024-05-23 17:16:19,25
2024-05-23 17:16:25,25
